caption	url	width	height	absolute_image_path	index	subject	prompt
An ex-Iraqi G-5 on display at the US Army Field Artillery Museum, Ft. Sill, Oklahoma	http://upload.wikimedia.org/wikipedia/commons/f/fa/G-5Rear.jpg	1693	1311	/data/output_images/00002/000029582.jpg	573	G-5 artillery	A G-5 artillery piece displayed in a historical military exhibition in a large indoor museum
Green tiger barb	https://upload.wikimedia.org/wikipedia/commons/5/51/Green_tiger_barb.jpg	1750	1352	/data/output_images/00003/000030937.jpg	601	Green tiger barb	A Green tiger barb swimming in a vibrant coral reef
Grumman OA-12 Duck  at the National Museum of the United States Air Force	http://upload.wikimedia.org/wikipedia/commons/8/8c/Grumman_OA-12_Duck_USAF.jpg	1800	1176	/data/output_images/00000/000007823.jpg	171	Grumman OA-12 Duck	A Grumman OA-12 Duck flying over a serene lake surrounded by mountains
Zeppelin airship, model 4	https://upload.wikimedia.org/wikipedia/commons/0/0d/Zeppelin_airship%2C_model_4%2C_with_inset_bust_portrait_of_Graf_Zeppelin_LCCN2002722155_%28cropped%29.jpg	990	668	/data/output_images/00002/000029185.jpg	565	Zeppelin airship	A Zeppelin airship flying over a bustling city skyline at sunset
The gold reliquary statue of Saint Faith	https://upload.wikimedia.org/wikipedia/commons/2/23/Statue_reliquaire_de_Sainte_Foy_de_Conques_%28cropped%29.jpg	1548	1712	/data/output_images/00003/000030240.jpg	589	gold reliquary statue of Saint Faith	A gold reliquary statue of Saint Faith displayed in a grand cathedral with stained glass windows
Lidded storage jar, Tenmoku glazed; 14cm x 15cm; Ian Sprague mark.	https://upload.wikimedia.org/wikipedia/commons/a/ae/Sprague_Tenmoku_jar_Enfield_1_March_2016.jpg	1228	1638	/data/output_images/00003/000035629.jpg	685	lidded storage jar	A lidded storage jar displayed on a rustic kitchen shelf surrounded by herbs and spices
Gyrfalcon in flight (Hastings, MN)	https://upload.wikimedia.org/wikipedia/commons/8/83/Gyrfalcon_%28falco_rusticolus%29_in_flight.jpg	2000	1308	/data/output_images/00003/000035437.jpg	679	Gyrfalcon	A Gyrfalcon soaring over a snowy mountain landscape
The Caparo T1's tailpipes and louvers along the F1-style body.	http://upload.wikimedia.org/wikipedia/commons/0/00/Caparo_t1_rear.jpg	2892	2092	/data/output_images/00003/000035832.jpg	690	Caparo T1	A Caparo T1 racing on a winding mountain road
Mugimaki flycatcher	https://upload.wikimedia.org/wikipedia/commons/1/16/Ficedula_mugimaki_-_Khao_Yai.jpg	1680	2100	/data/output_images/00003/000032345.jpg	624	Mugimaki flycatcher	A Mugimaki flycatcher perched on a branch in a vibrant tropical rainforest
Lancia Belna cabriolet 1935 Pourtout	https://upload.wikimedia.org/wikipedia/commons/2/21/Lancia_Belna_Cabriolet_1935_Pourtout.jpg	800	383	/data/output_images/00003/000034035.jpg	647	Lancia Belna cabriolet 1935 Pourtout	A Lancia Belna cabriolet 1935 Pourtout driving along a scenic coastal road during sunset
An E626 locomotive.	https://upload.wikimedia.org/wikipedia/commons/7/77/626_294.JPG	2816	2112	/data/output_images/00003/000035461.jpg	683	E626 locomotive	An E626 locomotive traveling through a picturesque countryside with rolling hills and a clear blue sky
Toad-liveried F-4E Phantom II	https://upload.wikimedia.org/wikipedia/commons/b/b3/Hatzerim_F4_20100129_1.jpg	1536	1152	/data/output_images/00003/000033048.jpg	635	F-4E Phantom II	An F-4E Phantom II flying over a mountainous landscape during sunset
Subaru Legacy B4 GT Asterope	https://upload.wikimedia.org/wikipedia/commons/0/03/SUBARU_LEGACY_B4_ASTEROPE_01.jpg	1600	1200	/data/output_images/00003/000036776.jpg	710	Subaru Legacy B4 GT Asterope	A Subaru Legacy B4 GT Asterope driving along a scenic coastal road during sunset
Orpington hen exhibiting typical self-blue plumage due to lavender (lav) gene on black background.	https://upload.wikimedia.org/wikipedia/commons/0/01/Lavender_orpington_lilac.jpg	2000	3008	/data/output_images/00003/000036650.jpg	707	Orpington hen	An Orpington hen with self-blue plumage roaming in a sunny meadow
Black cormorants at Aldinga Beach	https://upload.wikimedia.org/wikipedia/commons/5/5a/Phalacrocorax_fuscescens_1.jpg	1024	1024	/data/output_images/00003/000036017.jpg	693	black cormorants	A pair of black cormorants perched on a rocky cliff overlooking a vibrant sunset at the ocean
A Nokia 6820	http://upload.wikimedia.org/wikipedia/commons/f/fb/Nokia_6820.jpg	1704	2272	/data/output_images/00003/000035387.jpg	674	Nokia 6820	A Nokia 6820 resting on a beach towel under a bright sun
Fenestron on a Kawasaki OH-1 reconnaissance helicopter	https://upload.wikimedia.org/wikipedia/commons/d/d7/OH-1_JGSDF_20080518_3.jpg	3008	2000	/data/output_images/00003/000032590.jpg	630	Fenestron	A Fenestron rotor system showcased in a high-tech aerospace exhibition hall
Pied babbler adults have a white head and body with dark brown rectrices and remiges.	https://upload.wikimedia.org/wikipedia/commons/2/2c/Adult_plumage.jpg	500	333	/data/output_images/00003/000034837.jpg	664	Pied babbler	A Pied babbler perched on a branch in a lush tropical rainforest
Normal color Japanese quail egg and white Japanese quail egg	https://upload.wikimedia.org/wikipedia/commons/0/0b/Quail%27s_egg2015082.jpg	3264	2448	/data/output_images/00003/000031896.jpg	618	Japanese quail egg	A Japanese quail egg nestled in a lush green meadow surrounded by wildflowers
Bombycilla garrulus in Ontario, Canada	https://upload.wikimedia.org/wikipedia/commons/0/08/Bohemian_Waxwing_%28Bombycilla_garrulus%29_02.jpg	2573	3216	/data/output_images/00003/000035671.jpg	692	Bombycilla garrulus	A Bombycilla garrulus perched on a branch in a snowy forest
Callitris glaucophylla (white cypress), Lightning Ridge, NSW	https://upload.wikimedia.org/wikipedia/commons/f/fb/Callitris_columellaris_NSW1.JPG	1903	2189	/data/output_images/00003/000033241.jpg	639	Callitris glaucophylla	A Callitris glaucophylla tree standing in a lush green valley surrounded by mountains
Icelandic Coast Guard Eurocopter AS-365N Dauphin 2 helicopter	https://upload.wikimedia.org/wikipedia/commons/b/b0/AS-365N_Dauphin_2_of_The_Iceland_Coast_Guard.JPEG	2564	1678	/data/output_images/00003/000032855.jpg	633	Eurocopter AS-365N Dauphin 2 helicopter	A Eurocopter AS-365N Dauphin 2 helicopter flying over a bustling cityscape at sunset
Buddha Sculpture	https://upload.wikimedia.org/wikipedia/commons/1/14/Buddha_sculpture_in_Mahasthangarh.jpg	1280	960	/data/output_images/00003/000032395.jpg	623	Buddha Sculpture	A serene Buddha sculpture placed in a tranquil Zen garden surrounded by cherry blossom trees
Melitta leporina, male	https://upload.wikimedia.org/wikipedia/commons/5/50/Melitta_leporina_m.jpg	798	600	/data/output_images/00003/000033421.jpg	642	Melitta leporina	A male Melitta leporina buzzing around a vibrant wildflower meadow
Yellow oriole, Cape York Peninsula	https://upload.wikimedia.org/wikipedia/commons/a/ac/Yellow_oriole_portland08.JPG	1776	1768	/data/output_images/00003/000033367.jpg	640	Yellow oriole	A Yellow oriole perched on a branch in a vibrant tropical rainforest
Fresh strawberries, a Danish summertime favourite	https://upload.wikimedia.org/wikipedia/commons/d/db/Erdbeere_Senga_Sengana.JPG	3456	2592	/data/output_images/00003/000033626.jpg	646	strawberries	A basket of fresh strawberries displayed on a picnic blanket in a sunny park
A taxidermied Numenius borealis, or Eskimo curlew	https://upload.wikimedia.org/wikipedia/commons/d/d8/Numenius_borealis_ULaval_1.jpg	3219	3219	/data/output_images/00003/000036214.jpg	706	Numenius borealis	A Numenius borealis perched on a branch in a lush wetland
1987 Honda Ballade Sports CR-X 1.5i (Japan)	https://upload.wikimedia.org/wikipedia/commons/7/79/Honda-BalladeSportsCR-X1.5i.JPG	800	336	/data/output_images/00003/000033186.jpg	637	1987 Honda Ballade Sports CR-X 1.5i	A 1987 Honda Ballade Sports CR-X 1.5i driving along a coastal road with ocean views
Kahr CM9 subcompact 9x19mm	https://upload.wikimedia.org/wikipedia/commons/8/8a/Kahrcm9palm.jpg	800	600	/data/output_images/00003/000032654.jpg	628	Kahr CM9	A Kahr CM9 handgun displayed on a shooting range table with targets in the background
An electric train at Sandown, 2013	https://upload.wikimedia.org/wikipedia/commons/7/7a/Sandown_railway_station_MMB_03_483008.jpg	3126	2424	/data/output_images/00003/000031907.jpg	622	electric train	An electric train traveling through a bustling cityscape at sunset
A B2-class tram	https://upload.wikimedia.org/wikipedia/commons/2/29/B_2086_PTV_livery_Sep_2014.JPG	2592	1728	/data/output_images/00003/000035443.jpg	681	B2-class tram	A B2-class tram traveling through a scenic countryside with rolling hills and a clear blue sky
Opel Rekord D 4-door sedan	https://upload.wikimedia.org/wikipedia/commons/e/ef/Opel_Rekord_D_1975.jpg	799	345	/data/output_images/00003/000032452.jpg	621	Opel Rekord D 4-door sedan	An Opel Rekord D 4-door sedan parked in a vintage car show surrounded by classic cars
An English Setter puppy when the colour markings on the body are not yet fully developed	https://upload.wikimedia.org/wikipedia/commons/e/e4/Trouble2.jpg	795	750	/data/output_images/00003/000037298.jpg	721	English Setter puppy	An English Setter puppy playing in a sunny park with colorful flowers around
1990 Chevrolet Diplomata 4.1 SE	https://upload.wikimedia.org/wikipedia/commons/d/dc/1990_Chevrolet_Diplomata_4.1_SE.jpg	1600	1200	/data/output_images/00003/000036646.jpg	705	1990 Chevrolet Diplomata 4.1 SE	A 1990 Chevrolet Diplomata 4.1 SE parked in front of a vintage diner
Antonov AN-74 parked at NP-28 drifting ice station	https://upload.wikimedia.org/wikipedia/commons/d/dd/AN74_at_NP28.jpg	1200	814	/data/output_images/00003/000036960.jpg	715	Antonov AN-74	An Antonov AN-74 flying over a tropical beach during sunset
Marshmallow (Althaea officinalis)	https://upload.wikimedia.org/wikipedia/commons/a/a1/Althea_officinalis_flor.jpg	1024	768	/data/output_images/00003/000035525.jpg	677	Marshmallow (Althaea officinalis)	A Marshmallow flower blooming in a sunny meadow surrounded by wildflowers
Plane Driven PD-1 Roadable Glastar	https://upload.wikimedia.org/wikipedia/commons/7/77/PD-1_Roadable_Glastar.jpg	1680	1307	/data/output_images/00003/000031391.jpg	607	PD-1 Roadable Glastar	A PD-1 Roadable Glastar flying over a picturesque mountain landscape
Male Dartford warbler	https://upload.wikimedia.org/wikipedia/commons/4/47/Dartford_Warbler_-_Ligura_-_Italy_S4E3711_%2818675159154%29.jpg	504	648	/data/output_images/00003/000037252.jpg	717	Dartford warbler	A male Dartford warbler perched on a branch in a vibrant meadow during sunrise
East Air Boeing 737-300	https://upload.wikimedia.org/wikipedia/commons/8/8d/East_Air_Boeing_737-300_at_Domodedovo_30-Jul-2010.jpg	3400	2267	/data/output_images/00003/000037342.jpg	729	Boeing 737-300	A Boeing 737-300 flying over a tropical beach during sunset
Portrait of Aquila verreauxii	https://upload.wikimedia.org/wikipedia/commons/3/34/Verreaux_Eagle_AdF.jpg	1920	1280	/data/output_images/00003/000037125.jpg	722	Aquila verreauxii	Aquila verreauxii soaring over a vast desert landscape
LTI FX4 cab	https://upload.wikimedia.org/wikipedia/commons/7/75/Austin_FX4_at_St_Pauls_cathedral.jpg	1680	1260	/data/output_images/00003/000038852.jpg	746	LTI FX4 cab	An LTI FX4 cab driving through a bustling city street at night, illuminated by neon lights
A Class 92 commuter train	https://upload.wikimedia.org/wikipedia/commons/8/86/Hommelvik_stasjon_2.jpg	3008	2000	/data/output_images/00003/000037640.jpg	728	Class 92 commuter train	A Class 92 commuter train traveling through a bustling cityscape during rush hour
Custard cream biscuit	https://upload.wikimedia.org/wikipedia/commons/f/ff/Custard_cream_biscuit.jpg	926	768	/data/output_images/00003/000038680.jpg	741	custard cream biscuit	A custard cream biscuit placed on a colorful picnic blanket in a sunny park
Ã¢ÂÂFrying panÃ¢ÂÂ with running spiral decoration, Early Cycladic IÃ¢ÂÂII (ca. 2700 BC). From Syros?	https://upload.wikimedia.org/wikipedia/commons/8/88/Frying_pan_Syros_Louvre_CA2991.jpg	2500	2750	/data/output_images/00003/000038717.jpg	750	Frying pan	An ancient frying pan displayed in a sunlit archaeological museum
Austin A30 2-door saloon	https://upload.wikimedia.org/wikipedia/commons/9/94/Austin_A30_mfd_1955_948cc.jpg	4648	3320	/data/output_images/00003/000037280.jpg	737	Austin A30 2-door saloon	An Austin A30 2-door saloon parked on a cobblestone street in a quaint European village
AU II Falcon XR6 sedan	https://upload.wikimedia.org/wikipedia/commons/7/72/2001_Ford_Falcon_%28AU_II%29_XR6_sedan_%2820948727225%29.jpg	4330	2413	/data/output_images/00003/000039427.jpg	766	AU II Falcon XR6 sedan	An AU II Falcon XR6 sedan driving along a coastal road with ocean views
Pantographa limata (Agroterini), adult, from the US state of Missouri	https://upload.wikimedia.org/wikipedia/commons/4/42/Pantographa_limata_%E2%80%93_Basswood_Leafroller_Moth.jpg	800	609	/data/output_images/00003/000037363.jpg	723	Pantographa limata	A Pantographa limata moth resting on a vibrant flower in a lush garden
A Boston cream pie	https://upload.wikimedia.org/wikipedia/commons/8/85/Bostoncreampie.jpg	706	538	/data/output_images/00003/000038917.jpg	747	Boston cream pie	A Boston cream pie displayed on a festive dining table during a birthday celebration
The jade terrapin on display  at the British Museum	https://upload.wikimedia.org/wikipedia/commons/a/a8/Jade_Terrapin_%281%29_%28BM%29.JPG	3000	4000	/data/output_images/00003/000038467.jpg	743	jade terrapin	A jade terrapin resting on a sandy beach under a clear blue sky
Prehistoric Venus of Willendorf figurine	https://upload.wikimedia.org/wikipedia/commons/5/50/Venus_von_Willendorf_01.jpg	1428	2684	/data/output_images/00004/000040000.jpg	770	Venus of Willendorf figurine	A Venus of Willendorf figurine displayed in a modern art gallery
1957 Pontiac Star Chief Custom Bonneville convertible	https://upload.wikimedia.org/wikipedia/commons/1/11/Pontiac_Bonneville_Convertible_1957.jpg	800	418	/data/output_images/00003/000039447.jpg	759	1957 Pontiac Star Chief Custom Bonneville convertible	A 1957 Pontiac Star Chief Custom Bonneville convertible driving along a coastal highway with ocean views
A Texas Longhorn in Fort Worth, Texas	https://upload.wikimedia.org/wikipedia/commons/c/c1/TexasLonghornCattle.jpg	2748	1963	/data/output_images/00003/000036577.jpg	714	Texas Longhorn	A Texas Longhorn grazing in a lush green pasture with mountains in the background
A young Gouldian finch with the beginnings of bright adult plumage	http://upload.wikimedia.org/wikipedia/commons/4/4a/Young-gouldian-finch.jpg	1536	1152	/data/output_images/00004/000040457.jpg	777	Gouldian finch	A young Gouldian finch perched on a branch in a vibrant tropical rainforest
Suzuki Carry 1.0 (ST100) coachbuilt by Podo Joyo	https://upload.wikimedia.org/wikipedia/commons/5/50/Suzuki_Carry_1.0_Podo_Joyo.jpg	2020	1070	/data/output_images/00004/000041148.jpg	788	Suzuki Carry 1.0 (ST100)	A Suzuki Carry 1.0 (ST100) parked in a bustling city street with tall buildings and people walking by
A 1986 Honda Spree	https://upload.wikimedia.org/wikipedia/commons/b/b1/Honda_Spree.jpg	1283	1014	/data/output_images/00003/000037172.jpg	716	1986 Honda Spree	A 1986 Honda Spree parked on a sunny beach boardwalk
Common birdwing (Ã Â¦Â¸Ã Â§ÂÃ Â¦Â¨Ã Â¦Â¾Ã Â¦Â²), Kolkata, West Bengal, India	https://upload.wikimedia.org/wikipedia/commons/4/41/Common_Birdwing_%28_%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B2%2901.JPG	735	535	/data/output_images/00004/000041231.jpg	787	Common birdwing	A Common birdwing butterfly perched on a vibrant flower in a tropical rainforest
Young bank voles (Myodes glareolus) in their underground chamber which is often lined with moss, feathers and vegetable fiber.	http://upload.wikimedia.org/wikipedia/commons/8/86/Bank_voles.jpg	1280	856	/data/output_images/00003/000038877.jpg	748	bank voles	A group of bank voles playing in a lush green meadow filled with wildflowers
An ex-30 Squadron Bristol Bloodhound missile on display at the RAAF Museum	https://upload.wikimedia.org/wikipedia/commons/2/24/BloodhoundPointCook.JPG	1200	800	/data/output_images/00004/000043545.jpg	825	Bristol Bloodhound missile	A Bristol Bloodhound missile displayed at a military airshow with aircraft in the background
1989 Dodge Ram pickup	http://upload.wikimedia.org/wikipedia/commons/4/4a/89RamF34.jpg	432	206	/data/output_images/00004/000042912.jpg	815	1989 Dodge Ram pickup	A 1989 Dodge Ram pickup parked in a rustic countryside setting with rolling hills and a sunset in the background
A Thai AirAsia X Airbus A330-300	https://upload.wikimedia.org/wikipedia/commons/5/5f/HS-XTB_-_Thai_AirAsia_X_-_Airbus_A330-343_-_ICN_%2816647647279%29.jpg	5184	3456	/data/output_images/00004/000042050.jpg	806	AirAsia X Airbus A330-300	An AirAsia X Airbus A330-300 flying over a tropical beach during sunset
Olivetti M40 typewriter (1930), designed by Camillo Olivetti with Gino Levi Martinoli (Museo nazionale della scienza e della tecnologia Leonardo da Vinci, Milan).	https://upload.wikimedia.org/wikipedia/commons/6/67/Macchina_da_scrivere_Olivetti_M40_-_Museo_scienza_e_tecnologia_Milano.jpg	1980	1320	/data/output_images/00004/000043252.jpg	822	Olivetti M40 typewriter	An Olivetti M40 typewriter placed on a vintage wooden desk in a cozy library filled with books
Statue of Bird as an umpire	https://upload.wikimedia.org/wikipedia/commons/6/6b/The_Statue_of_a_Renowned_Cricket_Umpire.JPG	2592	3872	/data/output_images/00004/000043366.jpg	823	Statue of Bird	A statue of a bird as an umpire standing in a bustling sports stadium
1.5-litre Porsche 718	https://upload.wikimedia.org/wikipedia/commons/e/e6/Porsche_718_F1_von_Carel_de_Beaufort%2C_Leidschendam-Museum.jpg	2362	1536	/data/output_images/00004/000041886.jpg	798	Porsche 718	A Porsche 718 racing on a scenic coastal road during sunset
A police helicopter sitting on its pad	https://upload.wikimedia.org/wikipedia/commons/0/08/Fairfax_County_Fire_and_Rescue_Academy_IMG_0765_%288004539613%29.jpg	2426	1566	/data/output_images/00004/000042130.jpg	803	police helicopter	A police helicopter flying over a bustling city skyline at sunset
A 1968-1974 Ford Econoline	https://upload.wikimedia.org/wikipedia/commons/6/69/2ndgen_Econoline.jpg	1488	1021	/data/output_images/00004/000040156.jpg	772	1968-1974 Ford Econoline	A 1968-1974 Ford Econoline parked at a beach during sunset
Malabar Torrent Toad	https://upload.wikimedia.org/wikipedia/commons/c/c7/Ghatophryne_ornata_-_Malabar_Torrent_Toad.jpg	2083	1396	/data/output_images/00004/000043889.jpg	832	Malabar Torrent Toad	A Malabar Torrent Toad perched on a leaf in a lush rainforest
A Webley Mk VI .455 calibre break-top service revolver	http://upload.wikimedia.org/wikipedia/commons/4/4f/Webley_IMG_6793.jpg	3777	3147	/data/output_images/00003/000039214.jpg	757	Webley Mk VI .455 calibre break-top service revolver	A Webley Mk VI .455 calibre break-top service revolver displayed on a vintage wooden desk in a dimly lit study
1952 Lambretta 125 D	https://upload.wikimedia.org/wikipedia/commons/7/79/Lambretta_125_D_1952_a.jpg	1329	1772	/data/output_images/00004/000043155.jpg	820	1952 Lambretta 125 D	A 1952 Lambretta 125 D parked on a sunny beach promenade
1963 Chrysler New Yorker 4-door hardtop	https://upload.wikimedia.org/wikipedia/commons/d/dd/1963_Chrysler_New_Yorker.jpg	3664	2748	/data/output_images/00004/000042703.jpg	813	1963 Chrysler New Yorker	A 1963 Chrysler New Yorker parked in front of a vintage diner
1967 Iso Rivolta IR 300 GT Coupe	https://upload.wikimedia.org/wikipedia/commons/e/e5/Iso_Rivolta_IR_300_GT.jpg	2889	1664	/data/output_images/00003/000039622.jpg	764	1967 Iso Rivolta IR 300 GT Coupe	A 1967 Iso Rivolta IR 300 GT Coupe driving along a scenic coastal road during sunset
Water Tower in Floyd, Iowa	https://upload.wikimedia.org/wikipedia/commons/2/22/FloydWaterTower.JPG	1496	2256	/data/output_images/00004/000041282.jpg	789	Water Tower	A water tower standing tall in a bustling urban park
Micro Light Aircraft at Westonzoyland Airfield	https://upload.wikimedia.org/wikipedia/commons/e/e4/Micro_Light_Aircraft_at_Westonzoyland_Airfield_-_geograph.org.uk_-_129281.jpg	640	426	/data/output_images/00004/000045778.jpg	867	Micro Light Aircraft	A Micro Light Aircraft flying over a scenic coastal landscape
1955 Cadillac Series 62 Convertible	https://upload.wikimedia.org/wikipedia/commons/f/f0/%2755_Cadillac_Convertible_%28Auto_classique_Pointe-Claire_%2711%29.JPG	1259	785	/data/output_images/00004/000045348.jpg	859	1955 Cadillac Series 62 Convertible	A 1955 Cadillac Series 62 Convertible parked on a scenic coastal road with ocean views
Beretta 92 Compact L owned by the Royal Malaysia Police.	https://upload.wikimedia.org/wikipedia/commons/c/c4/Beretta_92_Compact_L_PDRM.jpg	3072	2304	/data/output_images/00004/000040361.jpg	779	Beretta 92 Compact L	A Beretta 92 Compact L displayed on a shooting range with targets in the background
"F-104G Starfighter painted in the special ""Olympus"" scheme for the type's decommissioning from 336 Squadron."	https://upload.wikimedia.org/wikipedia/commons/8/86/HAFm_F-104_Olympus_1.jpg	2304	1728	/data/output_images/00004/000045429.jpg	861	F-104G Starfighter	An F-104G Starfighter flying over a snowy mountain range
Train on the Munich U-Bahn	https://upload.wikimedia.org/wikipedia/commons/7/7b/Munich_subway_C-Zug.jpg	1136	852	/data/output_images/00004/000044636.jpg	843	Train	A modern train traveling through a scenic countryside landscape
2000Ã¢ÂÂ2010 Ford Courier pickup (Brazil)	http://upload.wikimedia.org/wikipedia/commons/d/d6/Courier_wikipedia.jpg	616	367	/data/output_images/00004/000045069.jpg	852	Ford Courier pickup	A Ford Courier pickup parked in a vibrant Brazilian marketplace
Indian robin (Saxicoloides fulicata) female in Mayannur, Thrissur	https://upload.wikimedia.org/wikipedia/commons/d/db/Indian_Robin_Saxicoloides_fulicata.JPG	4000	2664	/data/output_images/00004/000043966.jpg	834	Indian robin	An Indian robin perched on a branch in a vibrant city park during spring
An ancient example of board and batten siding on a type of storage building in Norway called a stabbur.	https://upload.wikimedia.org/wikipedia/commons/6/6a/Stabbur_trenagler_detalj.JPG	3296	2472	/data/output_images/00004/000044911.jpg	849	stabbur	An ancient stabbur situated on a snowy mountain landscape in Norway
Motorcycle-side view of modern product	https://upload.wikimedia.org/wikipedia/commons/d/d9/Ural_moto_%26_sidecar.jpg	2525	1894	/data/output_images/00004/000045543.jpg	863	motorcycle	A motorcycle parked on a scenic mountain road with a breathtaking view
A Coronation grape with the outer skin removed	https://upload.wikimedia.org/wikipedia/commons/4/43/Coronation_grape_without_skin.jpg	768	576	/data/output_images/00004/000045942.jpg	869	Coronation grape	A Coronation grape placed on a rustic wooden table in a sunlit kitchen
A wandering albatross (Diomedea exulans) on South Georgia	http://upload.wikimedia.org/wikipedia/commons/b/bb/Wonder_albat.jpg	1536	1029	/data/output_images/00004/000045690.jpg	866	wandering albatross	A wandering albatross soaring over a vibrant coral reef in the tropics
1992 Toyota Celica GT-Four Carlos Sainz Limited Edition (ST185, UK)	https://upload.wikimedia.org/wikipedia/commons/9/99/1992_Toyota_Celica_GT4_Turbo_Front.jpg	3264	2448	/data/output_images/00004/000042960.jpg	819	1992 Toyota Celica GT-Four Carlos Sainz Limited Edition	A 1992 Toyota Celica GT-Four Carlos Sainz Limited Edition parked on a scenic mountain road
Ardgowan Castle entrance stair	https://upload.wikimedia.org/wikipedia/commons/f/f5/Ardgowan_Castle_19_May_2010.jpg	2259	2742	/data/output_images/00004/000044941.jpg	851	Ardgowan Castle	Ardgowan Castle surrounded by a vibrant autumn forest
Atlantic seal (Halichoerus grypus)	https://upload.wikimedia.org/wikipedia/commons/a/ae/Common_Seal_flopping.jpg	624	608	/data/output_images/00004/000046682.jpg	884	Atlantic seal	An Atlantic seal lounging on a sandy beach under a bright sun
A CH-149 Cormorant training with a Canadian Coast Guard cutter	https://upload.wikimedia.org/wikipedia/commons/2/22/Canada_Search_and_Rescue.jpg	1536	1002	/data/output_images/00004/000046941.jpg	889	CH-149 Cormorant	A CH-149 Cormorant flying over a snowy mountain landscape
Eastern gray squirrel	http://upload.wikimedia.org/wikipedia/commons/f/f6/Eastern_Gray_Squirrel_800.jpg	800	686	/data/output_images/00004/000046443.jpg	878	Eastern gray squirrel	An Eastern gray squirrel foraging on the ground in a vibrant city park
1975 DAF 44	https://upload.wikimedia.org/wikipedia/commons/c/c6/1975_DAF_44.jpg	1164	748	/data/output_images/00004/000046964.jpg	891	1975 DAF 44	A 1975 DAF 44 parked on a bustling city street during a sunny day
A living Opheodrys aestivus, or rough green snake	https://upload.wikimedia.org/wikipedia/commons/3/38/Opheodrys_aestivus_-_rough_green_snake_cropped.jpg	3357	1961	/data/output_images/00004/000043990.jpg	835	Opheodrys aestivus	A living Opheodrys aestivus slithering through a vibrant tropical rainforest
Sake can be served in a wide variety of cups; here is a sakazuki (a flat, saucer-like cup), an ochoko (a small, cylindrical cup), and a masu (a wooden, box-like cup).	https://upload.wikimedia.org/wikipedia/commons/c/c8/Sake_set.jpg	800	500	/data/output_images/00004/000047275.jpg	899	sake cups	A collection of sake cups displayed on a traditional Japanese tea table in a serene garden setting
Humboldt penguins in an aquarium. The penguin is an accomplished swimmer, having flippers instead of wings.	https://upload.wikimedia.org/wikipedia/commons/c/c4/Spheniscus_humboldti_-swimming_-aquarium-8a.jpg	1024	683	/data/output_images/00004/000046413.jpg	877	Humboldt penguins	A group of Humboldt penguins swimming in the icy waters of Antarctica
Welsh Pony of Cob Type	https://upload.wikimedia.org/wikipedia/commons/c/c6/Welsh_C_en_show.jpg	415	300	/data/output_images/00004/000044537.jpg	841	Welsh Pony of Cob Type	A Welsh Pony of Cob Type grazing in a lush green meadow surrounded by wildflowers
Little auk in winter plumage	https://upload.wikimedia.org/wikipedia/commons/c/cb/Alle_alle1.jpg	900	700	/data/output_images/00004/000046968.jpg	892	Little auk	A Little auk perched on a rocky cliff overlooking a stormy sea
1956 Rolls Royce Silver Wraith touring limousine by H J Mulliner	https://upload.wikimedia.org/wikipedia/commons/2/29/1956_Rolls-Royce_Silver_Wraith_Touring_Limousine_%28H.J._Mulliner%29_%2815608899086%29.jpg	3322	2202	/data/output_images/00004/000045720.jpg	868	1956 Rolls Royce Silver Wraith	A 1956 Rolls Royce Silver Wraith parked in front of a grand castle during a vintage car show
Black oak tree in East Granby	https://upload.wikimedia.org/wikipedia/commons/2/21/Black_Oak_in_East_Granby%2C_Connecticut_-_October_20%2C_2013.jpg	1712	2288	/data/output_images/00004/000046722.jpg	886	Black oak tree	A majestic Black oak tree standing in a serene park during autumn
Lidded Basket, 1905, Isabella Edenshaw, spruce root and paint	https://upload.wikimedia.org/wikipedia/commons/1/11/Lidded_Basket_MET_DT261792.jpg	1905	1525	/data/output_images/00004/000048130.jpg	912	Lidded Basket	A beautifully crafted lidded basket displayed on a wooden table in a cozy cabin surrounded by nature
A pet hedgehog from Japan	https://upload.wikimedia.org/wikipedia/commons/a/a8/The_hedgehog_named_%22Sunao%22.jpg	640	480	/data/output_images/00004/000048027.jpg	911	hedgehog	A hedgehog exploring a traditional Japanese garden
Mesomys hispidus female	https://upload.wikimedia.org/wikipedia/commons/4/47/Mesomys_hispidus_female.jpg	2342	1561	/data/output_images/00004/000047821.jpg	909	Mesomys hispidus female	A female Mesomys hispidus exploring a lush rainforest floor
Seal Point Siamese Kitten	https://upload.wikimedia.org/wikipedia/commons/c/c4/Seal_Point_Siamese_Kitten.JPG	2592	1944	/data/output_images/00004/000048584.jpg	920	Seal Point Siamese Kitten	A Seal Point Siamese Kitten playing in a sunny garden filled with colorful flowers
Illustration of Ottoia, a prehistoric priapulid.	https://upload.wikimedia.org/wikipedia/commons/0/04/Ottoia_reconstruction.jpg	4918	3677	/data/output_images/00004/000048493.jpg	916	Ottoia	An illustration of Ottoia, a prehistoric priapulid, swimming in a vibrant coral reef
Pryor Mountain mustang stallions	https://upload.wikimedia.org/wikipedia/commons/9/95/Feral_stallions_fighting-_Pryor_Mountain_Wild_Horse_Range_-_Montana.jpg	600	450	/data/output_images/00004/000049770.jpg	943	Pryor Mountain mustang stallions	Two Pryor Mountain mustang stallions playfully interacting in a vast desert landscape
